AVG_TTR,MIN_AVG_TTR,Status,
2067,5915,BUSY,
2067,5915,BUSY,
2674,9105,OVERLOADED,
2674,9105,OVERLOADED,
1628,1247,FREE,
15866,1732,OVERLOADED,
15866,1732,OVERLOADED,
1911,4674,FREE,
11263,7353,OVERLOADED,
11263,7353,OVERLOADED,
3487,8371,OVERLOADED,
3487,8371,OVERLOADED,
2646,10829,OVERLOADED,
2646,10829,OVERLOADED,
2800,10178,OVERLOADED,
2800,10178,OVERLOADED,
20937,1682,OVERLOADED,
20937,1682,OVERLOADED,
6977,4684,BUSY,
6977,4684,BUSY,
39741,11267,OVERLOADED,
39741,11267,OVERLOADED,
23926,4235,OVERLOADED,
23926,4235,OVERLOADED,
2690,9214,OVERLOADED,
2690,9214,OVERLOADED,
2743,6816,BUSY,
2743,6816,BUSY,
2877,10982,OVERLOADED,
2877,10982,OVERLOADED,
12093,1563,OVERLOADED,
12093,1563,OVERLOADED,
1501,2374,FREE,
3722,1505,FREE,
1525,4577,BUSY,
1525,4577,BUSY,
6524,2665,BUSY,
6524,2665,BUSY,
1359,1458,FREE,
1391,1283,FREE,
1363,1404,FREE,
1325,1407,FREE,
1565,2057,FREE,
1324,1405,FREE,
1376,1329,FREE,
1371,1304,FREE,
2498,1429,FREE,
4357,11658,OVERLOADED,
4357,11658,OVERLOADED,
7166,11249,OVERLOADED,
7166,11249,OVERLOADED,
6073,11146,OVERLOADED,
6073,11146,OVERLOADED,
6810,2290,BUSY,
6810,2290,BUSY,
4237,1506,FREE,
1379,2794,FREE,
